win_blue,firstBlood_ours,firstTowerKill_ours,firstInhibitorKill_ours,firstBaron_ours,firstDragon_ours,firstRiftHerald_ours,4dragons_ours,olddragon_ours,kda_ours,kda_enemy,level_diff_ours_minus_enemy,inhibitorKills_gap_ours_minus_enemy,baronKills_gap_ours_minus_enemy,dragonKills_gap_ours_minus_enemy,riftHeraldKills_gap_ours_minus_enemy
0,True,False,False,True,True,False,0,0,2.243355279200195,2.9588164734106357,25.0,-1,0,1,0
1,False,False,True,True,True,True,0,0,3.6987670776407864,1.999091322126306,37.0,2,1,-1,2
1,False,False,False,False,False,True,1,0,3.3064206074586697,1.554979637171418,37.0,-2,0,1,1
1,False,True,True,True,False,False,0,0,3.7843627275972866,1.5645371577574967,29.0,2,1,-2,0
1,True,False,True,True,False,True,0,0,3.998462129950019,1.7771195853387634,33.0,2,1,-1,2
1,True,True,True,False,True,True,0,0,3.855306996668253,1.5920029618659755,29.0,2,0,1,2
0,True,True,False,False,False,False,0,0,2.4474319200275767,4.263824117255163,22.0,-2,-1,1,-2
1,True,True,True,False,False,True,0,0,4.2609153077327715,1.1046817464492371,26.0,2,0,-1,2
0,True,False,False,False,True,True,0,0,1.6900737919542967,5.496946141032759,31.0,-4,-2,-3,2
0,True,True,True,False,False,True,0,0,1.299350324837581,14.950166112956811,24.0,0,-1,1,0
0,False,False,False,False,False,False,0,0,1.4541048167222055,5.495420482930891,23.0,-1,-1,-2,-2
0,False,False,False,False,True,False,0,0,1.8744142455482662,4.463690872751499,24.0,-2,-1,-2,-2
0,True,False,False,False,False,False,0,0,1.3221541438245727,6.32630410654828,15.0,-1,0,0,0
1,False,True,True,True,True,True,0,0,5.092812946216087,0.6921302230197386,33.0,3,1,3,1
1,False,True,True,True,True,True,1,0,3.9973351099267154,0.9519276534983341,37.0,3,1,4,2
1,True,True,True,False,False,True,0,0,3.878448620551779,0.8211353088182791,30.0,2,0,0,2
0,False,False,False,False,True,False,0,0,1.877167924913283,5.7190449750138805,28.0,-1,-1,0,-2
1,False,False,True,True,False,False,0,0,4.04569252736792,1.6356201726487958,42.0,1,2,1,-2
0,False,False,False,False,True,False,0,0,2.098950524737631,2.536510376633359,21.0,-1,0,-1,-2
1,True,True,True,False,True,True,0,0,5.158069883527454,0.5710206995003569,26.0,1,0,2,1
1,False,True,True,True,False,True,0,0,3.629668595476065,2.07532667179093,32.0,1,1,2,2
0,False,False,False,False,False,False,0,0,1.1918492887351018,5.216426193118757,15.0,-3,-1,-3,-2
0,True,False,False,False,True,False,0,0,1.5478877781360851,5.6312443233424165,17.0,-1,-1,-1,-2
